機種名,規格,廠商,站數,有庫存,最低價,最高價,價差,價差%,最便宜店家,ホームスロット 價格,ホームスロット 連結,A-SLOT 價格,A-SLOT 連結,イニシャルP (FC2) 價格,イニシャルP (FC2) 連結,行情排名,行情價,本週漲跌,上市週數,備註
アクロス ハナビ通,,,2,是,64100,210000,145900,69.5,A-SLOT,210000,https://home-slot.net/SHOP/s-across211.html,64100,https://www.a-slot.com/SHOP/across7.html,,,,-,,,
島唄30,,オリンピア,2,否,35727,135000,99273,73.5,ホームスロット,35727,https://home-slot.net/SHOP/s-heiwa9.html,135000,https://www.a-slot.com/SHOP/heiwa9.html,,,,-,,,
南国育ち30 蝶パネル,,平和,2,否,45156,135000,89844,66.6,ホームスロット,45156,https://home-slot.net/SHOP/s-heiwa24.html,135000,https://www.a-slot.com/SHOP/heiwa24.html,,,,-,,,
ヒデキに夢中!!ギャランドゥパネル,,オリンピア,2,否,28742,108500,79758,73.5,ホームスロット,28742,https://home-slot.net/SHOP/s-heiwa90.html,108500,https://www.a-slot.com/SHOP/heiwa90.html,,,,-,,,
スーパーバニーガール 黒 Y,,オリンピア,2,否,64542,142200,77658,54.6,ホームスロット,64542,https://home-slot.net/SHOP/s-heiwa26.html,142200,https://www.a-slot.com/SHOP/heiwa26.html,,,,-,,,
ゴールド獣王,,Sammy,2,否,37909,95000,57091,60.1,ホームスロット,37909,https://home-slot.net/SHOP/s-sammy50.html,95000,https://www.a-slot.com/SHOP/sammy50.html,,,,-,,,
タイヨーエレック ToHeart2 トゥーハート2,,,2,否,43642,99800,56158,56.3,ホームスロット,43642,https://home-slot.net/SHOP/s-taiyo_elec15.html,99800,https://www.a-slot.com/SHOP/taiyo_elec15.html,,,,-,,,
新 吉宗 殿パネル,,大都技研,2,否,35100,89000,53900,60.6,ホームスロット,35100,https://home-slot.net/SHOP/s-daitogiken8.html,89000,https://www.a-slot.com/SHOP/daitogiken8.html,,,,-,,,
キングパルサー ブラックパネル,,山佐,2,否,37909,89220,51311,57.5,ホームスロット,37909,https://home-slot.net/SHOP/s-yamasa6.html,89220,https://www.a-slot.com/SHOP/yamasa6.html,,,,-,,,
忍魂 月光Ver,,大都技研,2,否,28742,79800,51058,64.0,ホームスロット,28742,https://home-slot.net/SHOP/s-daitogiken26.html,79800,https://www.a-slot.com/SHOP/daitogiken26.html,,,,-,,,
SNKプレイモア 神たま,,,2,否,28742,78500,49758,63.4,ホームスロット,28742,https://home-slot.net/SHOP/s-snk11.html,78500,https://www.a-slot.com/SHOP/snk11.html,,,,-,,,
ウイングマン,,オリンピア,2,否,32549,79800,47251,59.2,ホームスロット,32549,https://home-slot.net/SHOP/s-heiwa71.html,79800,https://www.a-slot.com/SHOP/heiwa71.html,,,,-,,,
真 三國無双,,オリンピア,2,否,38399,83500,45101,54.0,A-SLOT,83500,https://home-slot.net/SHOP/s-heiwa58.html,38399,https://www.a-slot.com/SHOP/heiwa119.html,,,,-,,,
タイヨー 一騎当千A 関羽パネル,,,2,否,35727,75100,39373,52.4,ホームスロット,35727,https://home-slot.net/SHOP/s-taiyo7.html,75100,https://www.a-slot.com/SHOP/taiyo7.html,,,,-,,,
アイムジャグラーAPEX,,北電子,2,否,62800,98500,35700,36.2,A-SLOT,98500,https://home-slot.net/SHOP/s-kitadensi33.html,62800,https://www.a-slot.com/SHOP/kitadensi204.html,,,92,-,,805,
